year,month,amount,item,category
2022,enero," $7,690.00 ",zapatillas,hogar
2022,enero, $470.00 ,comestibles,hogar
2022,enero, $300.00 ,cucatrap,hogar
2022,enero, $200.00 ,verduras,hogar
2022,enero, $150.00 ,desodorante,hogar
2022,enero, $100.00 ,banana,hogar
2022,enero," $3,800.00 ",insumos burguer,trabajo
2022,enero, $840.00 ,birra,recreacion
2022,enero, $500.00 ,bizcochuelo,recreacion
2022,enero, $400.00 ,g,recreacion
2022,enero, $280.00 ,balbo,recreacion
2022,enero, $200.00 ,g,recreacion
2022,enero, $200.00 ,galles,recreacion
2022,enero, $110.00 ,pepito,recreacion
2022,enero, $80.00 ,galles,recreacion
2022,enero," $35,000.00 ",bici,otros
2022,enero," $2,500.00 ",venti,otros
2022,enero, $200.00 ,sube,otros
2022,enero, $100.00 ,recarga,otros
2022,febrero," $5,000.00 ",procesadora,hogar
2022,febrero," $1,500.00 ",servicios,hogar
2022,febrero, $630.00 ,3k mani,hogar
2022,febrero, $600.00 ,5k arvejas,hogar
2022,febrero, $500.00 ,yerba,hogar
2022,febrero, $300.00 ,garrafa,hogar
2022,febrero, $300.00 ,verduras,hogar
2022,febrero, $200.00 ,garrafa,hogar
2022,febrero, $140.00 ,verduras,hogar
2022,febrero, $100.00 ,fruta ,hogar
2022,febrero, $70.00 ,cacao amargo,hogar
2022,febrero, $40.00 ,coco rallado,hogar
2022,febrero," $1,290.00 ",insumos burguer,trabajo
2022,febrero," $1,000.00 ",insumos burguer,trabajo
2022,febrero, $470.00 ,insumos burguer,trabajo
2022,febrero, $230.00 ,insumos burguer,trabajo
2022,febrero," $1,550.00 ",linga,otros
2022,febrero, $420.00 ,luces bici,otros
2022,febrero, $170.00 ,fibron,otros
2022,febrero, $50.00 ,envío fallido,otros
2022,marzo," $1,500.00 ",servicios casa,hogar
2022,marzo," $1,560.00 ",perfume,hogar
2022,marzo," $1,400.00 ",velador,hogar
2022,marzo, $700.00 ,legumbres,hogar
2022,marzo, $650.00 ,3k mani,hogar
2022,marzo, $480.00 ,verduras burguer,hogar
2022,marzo, $300.00 ,verduras,hogar
2022,marzo, $200.00 ,200 yuyos mate,hogar
2022,marzo, $200.00 ,garrafa,hogar
2022,marzo, $200.00 ,harina y sal,hogar
2022,marzo, $150.00 ,desodorante,hogar
2022,marzo, $100.00 ,garrafa,hogar
2022,marzo, $100.00 ,banana,hogar
2022,marzo, $100.00 ,cacao,hogar
2022,marzo," $18,100.00 ",silla ergonomica,trabajo
2022,marzo, $100.00 ,bizcochos,recreacion
2022,marzo," $2,000.00 ",Ethereum,otros
2022,marzo," $1,650.00 ",tierra indoor,otros
2022,marzo, $300.00 ,corte,otros
2022,abril," $2,000.00 ",provista,hogar
2022,abril," $1,500.00 ",servicios,hogar
2022,abril," $1,600.00 ",toallon,hogar
2022,abril," $2,650.00 ",pantalon,hogar
2022,abril, $900.00 ,viveres,hogar
2022,abril, $600.00 ,3k mani,hogar
2022,abril, $590.00 ,1k yerba,hogar
2022,abril, $450.00 ,salsa de soja,hogar
2022,abril, $140.00 ,bananas,hogar
2022,abril, $125.00 ,sahumerio,hogar
2022,abril," $17,500.00 ",Soundcore LIFE Q20,trabajo
2022,abril, $ 360 ,antibioticos,salud
2022,abril," $2,900.00 ",flopper,recreacion
2022,abril," $1,400.00 ",birra ,recreacion
2022,abril, $500.00 ,birra ,recreacion
2022,abril, $400.00 ,papas fritas,recreacion
2022,abril, $350.00 ,liso,recreacion
2022,abril, $200.00 ,facturas,recreacion
2022,abril, $150.00 ,pan casero,recreacion
2022,abril, $100.00 ,recarga,otros
2022,abril, $100.00 ,recarga,otros
2022,mayo," $4,220.00 ",provista,hogar
2022,mayo," $3,900.00 ",cafetera hudson,hogar
2022,mayo," $2,700.00 ",Café brasil,hogar
2022,mayo," $2,000.00 ",servicios,hogar
2022,mayo," $2,000.00 ",3k pasta mani,hogar
2022,mayo, $450.00 ,garrafa,hogar
2022,mayo, $70.00 ,esponja,hogar
2022,mayo," $4,620.00 ",Redragon shiva,trabajo
2022,mayo," $4,000.00 ",webcam pc,trabajo
2022,mayo," $2,600.00 ",adaptador Bluetooth,trabajo
2022,mayo," $2,200.00 ",Micro Boya by-m1,trabajo
2022,mayo," $ 1,700 ",consulta odontologo,salud
2022,mayo, $ 400 ,ketorolaco,salud
2022,mayo, $ 150 ,ibuprofeno,salud
2022,mayo," $1,000.00 ",fernet y queso vegano,recreacion
2022,mayo, $880.00 ,cumple luci,recreacion
2022,mayo, $650.00 ,birra,recreacion
2022,mayo, $650.00 ,goloseadas,recreacion
2022,mayo," $4,500.00 ",flopper,otros
2022,mayo," $3,200.00 ",Envío,otros
2022,mayo, $300.00 ,recarga,otros
2022,mayo, $300.00 ,g,otros
2022,mayo, $200.00 ,donacion wikipedia,otros
2022,junio," $5,260.00 ",provista,hogar
2022,junio," $2,700.00 ",servicios,hogar
2022,junio,,,
2022,junio," $2,440.00 ",adaptador wifi,trabajo
2022,junio," $ 1,600 ",sos,salud
2022,junio," $ 4,500 ",radiografia,salud
2022,junio," $1,750.00 ",bebidas,recreacion
